FILE:2016-12-07 08:42:45,D:\AWORK\向家坝\向家坝10月份数据\2016年10月月报及数据\2标段内观\出水口边坡\出水口边坡-锚索测力计.xlsx
FILE:2016-12-07 08:42:45,D:\AWORK\向家坝\向家坝10月份数据\2016年10月月报及数据\2标段内观\右岸马延坡边坡\马延坡-锚索测力计.xlsx
DATA:DP-2BD,113,所有数据误差超限
DATA:DP-2BD,114,所有数据误差超限
DATA:DP-2BD,115,所有数据误差超限
DATA:DP-2BD,116,所有数据误差超限
DATA:DP-2BD,117,所有数据误差超限
DATA:DP-2BD,118,所有数据误差超限
DATA:DP-2BD,119,所有数据误差超限
DATA:DP-2BD,120,所有数据误差超限
DATA:DP-2BD,121,所有数据误差超限
DATA:DP-2BD,122,所有数据误差超限
DATA:DP-2BD,123,所有数据误差超限
DATA:DP-2BD,124,所有数据误差超限
DATA:DP-2BD,125,所有数据误差超限
DATA:DP-2BD,126,所有数据误差超限
DATA:DP-2BD,127,所有数据误差超限
DATA:DP-2BD,128,所有数据误差超限
DATA:DP-2BD,129,所有数据误差超限
DATA:DP-2BD,130,所有数据误差超限
DATA:DP-2BD,131,所有数据误差超限
DATA:DP-2BD,132,所有数据误差超限
DATA:DP-2BD,133,所有数据误差超限
DATA:DP-2BD,134,所有数据误差超限
DATA:DP-2BD,135,所有数据误差超限
DATA:DP-2BD,136,所有数据误差超限
DATA:DP-2BD,137,所有数据误差超限
DATA:DP-2BD,138,所有数据误差超限
DATA:DP-2BD,139,所有数据误差超限
DATA:DP-2BD,140,所有数据误差超限
DATA:DP-2BD,141,所有数据误差超限
DATA:DP-2BD,142,所有数据误差超限
DATA:DP-2BD,143,所有数据误差超限
DATA:DP-2BD,144,所有数据误差超限
DATA:DP-2BD,145,所有数据误差超限
DATA:DP-2BD,146,所有数据误差超限
DATA:DP-2BD,147,所有数据误差超限
DATA:DP-2BD,148,所有数据误差超限
DATA:DP-2BD,149,所有数据误差超限
DATA:DP-2BD,150,所有数据误差超限
DATA:DP-2BD,151,所有数据误差超限
DATA:DP-2BD,152,所有数据误差超限
DATA:DP-2BD,153,所有数据误差超限
DATA:DP-2BD,154,所有数据误差超限
DATA:DP-2BD,155,所有数据误差超限
DATA:DP-2BD,156,所有数据误差超限
DATA:DP-2BD,157,所有数据误差超限
DATA:DP-2G14,12,所有数据误差超限
DATA:DP-2G14,13,所有数据误差超限
DATA:DP-2G14,14,所有数据误差超限
DATA:DP-2G14,15,所有数据误差超限
DATA:DP-2G14,16,所有数据误差超限
DATA:DP-2G14,17,所有数据误差超限
DATA:DP-2G14,18,所有数据误差超限
DATA:DP-2G14,19,所有数据误差超限
DATA:DP-2G14,20,所有数据误差超限
DATA:DP-2G14,21,所有数据误差超限
DATA:DP-2G14,22,所有数据误差超限
DATA:DP-2G14,23,所有数据误差超限
DATA:DP-2G14,24,所有数据误差超限
DATA:DP-2G14,25,所有数据误差超限
DATA:DP-2G14,26,所有数据误差超限
DATA:DP-2G14,27,所有数据误差超限
DATA:DP-2G14,28,所有数据误差超限
DATA:DP-2G14,29,所有数据误差超限
DATA:DP-2G14,30,所有数据误差超限
DATA:DP-2G14,31,所有数据误差超限
DATA:DP-2G14,32,所有数据误差超限
DATA:DP-2G14,33,所有数据误差超限
DATA:DP-2G14,34,所有数据误差超限
DATA:DP-2G14,35,所有数据误差超限
DATA:DP-2G14,36,所有数据误差超限
DATA:DP-2G14,37,所有数据误差超限
DATA:DP-2G14,38,所有数据误差超限
DATA:DP-2G14,39,所有数据误差超限
DATA:DP-2G14,40,所有数据误差超限
DATA:DP-2G14,41,所有数据误差超限
DATA:DP-2G14,42,所有数据误差超限
DATA:DP-2G14,43,所有数据误差超限
DATA:DP-2G14,44,所有数据误差超限
DATA:DP-2G14,45,所有数据误差超限
DATA:DP-2G14,46,所有数据误差超限
DATA:DP-2G14,47,所有数据误差超限
DATA:DP-2G14,48,所有数据误差超限
DATA:DP-2G14,49,所有数据误差超限
DATA:DP-2G14,50,所有数据误差超限
DATA:DP-2G14,51,所有数据误差超限
DATA:DP-2G14,52,所有数据误差超限
DATA:DP-2G14,53,所有数据误差超限
DATA:DP-2G14,54,所有数据误差超限
DATA:DP-2G14,55,所有数据误差超限
DATA:DP-2G14,56,所有数据误差超限
DATA:DP-2G14,57,所有数据误差超限
DATA:DP-2G14,58,所有数据误差超限
DATA:DP-2G14,59,所有数据误差超限
DATA:DP-2G14,60,所有数据误差超限
DATA:DP-2G14,61,所有数据误差超限
DATA:DP-2G14,62,所有数据误差超限
DATA:DP-2G14,63,所有数据误差超限
DATA:DP-2G14,64,所有数据误差超限
DATA:DP-2G14,65,所有数据误差超限
DATA:DP-2G14,66,所有数据误差超限
DATA:DP-2G14,67,所有数据误差超限
DATA:DP-2G14,68,所有数据误差超限
DATA:DP-2G14,69,所有数据误差超限
DATA:DP-2G14,70,所有数据误差超限
DATA:DP-2G14,71,所有数据误差超限
DATA:DP-2G14,72,所有数据误差超限
DATA:DP-2G14,73,所有数据误差超限
DATA:DP-2G14,74,所有数据误差超限
DATA:DP-2G14,75,所有数据误差超限
DATA:DP-2G14,76,所有数据误差超限
DATA:DP-2G14,77,所有数据误差超限
DATA:DP-2G14,78,所有数据误差超限
DATA:DP-2G14,79,所有数据误差超限
DATA:DP-2G14,80,所有数据误差超限
DATA:DP-2G14,81,所有数据误差超限
DATA:DP-2G14,82,所有数据误差超限
DATA:DP-2G14,83,所有数据误差超限
DATA:DP-2G14,84,所有数据误差超限
DATA:DP-2G14,85,所有数据误差超限
DATA:DP-2G14,86,所有数据误差超限
DATA:DP-2G14,87,所有数据误差超限
DATA:DP-2G14,88,所有数据误差超限
DATA:DP-2G14,89,所有数据误差超限
