FILE:2017-03-13 08:41:06,D:\AWORK\苗尾\苗尾监测数据2-28\内观资料283期\大坝\大坝心墙\渗压计.xls
FILE:2017-03-13 08:43:14,D:\AWORK\苗尾\苗尾监测数据2-28\内观资料283期\大坝\大坝心墙\渗压计.xls
DATA:P2-3,76,数据误差超限
DATA:P2-3,77,数据误差超限
DATA:P2-3,78,数据误差超限
DATA:P2-3,79,数据误差超限
DATA:P2-3,80,数据误差超限
DATA:P2-3,86,数据误差超限
DATA:P2-3,87,数据误差超限
DATA:P2-3,88,数据误差超限
DATA:P2-3,89,数据误差超限
DATA:P2-3,90,数据误差超限
DATA:P2-3,91,数据误差超限
DATA:P2-3,92,数据误差超限
DATA:P2-3,93,数据误差超限
DATA:P2-3,94,数据误差超限
DATA:P2-3,95,数据误差超限
DATA:P2-3,96,数据误差超限
DATA:P2-3,97,数据误差超限
DATA:P2-3,98,数据误差超限
DATA:P2-3,106,数据误差超限
DATA:P2-3,107,数据误差超限
DATA:P2-3,108,数据误差超限
DATA:P2-3,109,数据误差超限
DATA:P2-3,110,数据误差超限
DATA:P2-3,111,数据误差超限
DATA:P2-3,117,数据误差超限
DATA:P2-3,118,数据误差超限
DATA:P2-3,119,数据误差超限
DATA:P2-3,120,数据误差超限
DATA:P2-3,121,数据误差超限
DATA:P2-3,122,数据误差超限
DATA:P2-3,123,数据误差超限
DATA:P2-3,126,数据误差超限
DATA:P2-3,127,数据误差超限
DATA:P2-3,128,数据误差超限
DATA:P2-3,129,数据误差超限
DATA:P2-3,130,数据误差超限
DATA:P2-3,144,数据误差超限
DATA:P2-3,172,数据误差超限
DATA:P2-3,173,数据误差超限
DATA:P2-3,174,数据误差超限
DATA:P2-3,175,数据误差超限
DATA:P2-3,176,数据误差超限
DATA:P2-3,177,数据误差超限
DATA:P2-3,178,数据误差超限
DATA:P2-3,179,数据误差超限
DATA:P2-3,180,数据误差超限
DATA:P2-3,181,数据误差超限
DATA:P2-3,182,数据误差超限
DATA:P2-3,183,数据误差超限
DATA:P2-3,184,数据误差超限
DATA:P2-3,185,数据误差超限
DATA:P2-3,186,数据误差超限
DATA:P2-3,187,数据误差超限
DATA:P2-3,188,数据误差超限
DATA:P2-3,189,数据误差超限
DATA:P2-3,190,数据误差超限
DATA:P2-3,208,数据误差超限
DATA:P2-3,209,数据误差超限
DATA:P2-3,213,数据误差超限
DATA:P2-3,214,数据误差超限
DATA:P2-3,215,数据误差超限
DATA:P2-3,216,数据误差超限
DATA:P2-3,217,数据误差超限
DATA:P2-3,218,数据误差超限
DATA:P2-3,219,数据误差超限
DATA:P2-3,220,数据误差超限
DATA:P2-3,221,数据误差超限
DATA:P2-3,222,数据误差超限
DATA:P2-3,223,数据误差超限
DATA:P2-3,224,数据误差超限
DATA:P2-3,225,数据误差超限
DATA:P2-3,226,数据误差超限
DATA:P2-3,227,数据误差超限
DATA:P2-3,228,数据误差超限
DATA:P2-3,229,数据误差超限
DATA:P2-3,230,数据误差超限
DATA:P2-3,231,数据误差超限
DATA:P2-3,232,数据误差超限
DATA:P2-3,233,数据误差超限
DATA:P2-3,234,数据误差超限
DATA:P2-3,235,数据误差超限
DATA:P2-3,236,数据误差超限
DATA:P2-3,237,数据误差超限
DATA:P2-3,238,数据误差超限
DATA:P2-3,239,数据误差超限
DATA:P2-3,240,数据误差超限
DATA:P2-3,241,数据误差超限
DATA:P2-3,242,数据误差超限
DATA:P2-3,243,数据误差超限
DATA:P2-3,244,数据误差超限
DATA:P2-3,245,数据误差超限
DATA:P2-3,246,数据误差超限
DATA:P2-3,247,数据误差超限
DATA:P2-3,248,数据误差超限
DATA:P2-3,249,数据误差超限
DATA:P2-4,37,数据误差超限
DATA:P2-4,38,数据误差超限
DATA:P2-4,39,数据误差超限
DATA:P2-4,40,数据误差超限
DATA:P2-4,41,数据误差超限
DATA:P2-4,42,数据误差超限
DATA:P2-4,43,数据误差超限
DATA:P2-4,44,数据误差超限
DATA:P2-4,45,数据误差超限
DATA:P2-4,46,数据误差超限
DATA:P2-4,47,数据误差超限
DATA:P2-4,48,数据误差超限
DATA:P2-4,49,数据误差超限
DATA:P2-4,50,数据误差超限
DATA:P2-4,51,数据误差超限
DATA:P2-4,52,数据误差超限
DATA:P2-4,53,数据误差超限
DATA:P2-4,54,数据误差超限
DATA:P2-4,55,数据误差超限
DATA:P2-4,56,数据误差超限
DATA:P2-4,57,数据误差超限
DATA:P2-4,58,数据误差超限
DATA:P2-4,59,数据误差超限
DATA:P2-4,60,数据误差超限
DATA:P2-4,61,数据误差超限
DATA:P2-4,62,数据误差超限
DATA:P2-4,63,数据误差超限
DATA:P2-4,64,数据误差超限
DATA:P2-4,65,数据误差超限
DATA:P2-4,67,数据误差超限
